filepath,category,source
C:\Users\ajayp\Downloads\WINSEM2025-26_VL_BACSE105_00100_ETH_2026-04-17_Branch-and-Bound---Job-Selection-Problem.pdf,Chat / Messages,zero-shot(0.1152)
C:\Users\ajayp\Downloads\FALLSEM2025-26_VL_BAEEE101_00100_ETH_2025-09-27_Elements-of-Communication-Systems_.pdf,UI / Design,zero-shot(0.1226)
C:\Users\ajayp\Downloads\14- Queues (1).mp4,Other,zero-shot(0.123)
C:\Users\ajayp\Downloads\Microeconomics_Module1_Flashcards.csv,Chart / Data,zero-shot(0.1241)
C:\Users\ajayp\Downloads\WINSEM2025-26_VL_BAMAT205_00100_TH_2026-03-22_CAT-2----BAMAT205L---A2-Slot-Key.pdf,Code / Terminal,zero-shot(0.125)
C:\Users\ajayp\Downloads\25BCE2065_VL2025260503921_AST03 (1).pdf,Chat / Messages,zero-shot(0.1251)
C:\Users\ajayp\Downloads\25BCE2065_VL2025260503921_AST03 (2).pdf,Chat / Messages,zero-shot(0.1251)
C:\Users\ajayp\Downloads\gd_research_notes.pdf,Chat / Messages,zero-shot(0.1251)
C:\Users\ajayp\Downloads\ilovepdf_merged (1).pdf,Chat / Messages,zero-shot(0.1251)
C:\Users\ajayp\Downloads\25BCE2065_VL2025260107746_AST01.pdf,Code / Terminal,zero-shot(0.1262)
C:\Users\ajayp\Downloads\331481658.pdf,Code / Terminal,zero-shot(0.1262)
C:\Users\ajayp\Downloads\assesment1.pdf,Code / Terminal,zero-shot(0.1262)
C:\Users\ajayp\Downloads\Latha_Aadhaar.pdf,Code / Terminal,zero-shot(0.1267)
C:\Users\ajayp\Downloads\22- Unpacking Operator.mp4,Other,zero-shot(0.1272)
C:\Users\ajayp\Downloads\python\[FreeCoursesOnline.Me] Code With Mosh - Complete Python Mastery\5- Data Structures\22- Unpacking Operator.mp4,Other,zero-shot(0.1272)
C:\Users\ajayp\Downloads\FALLSEM2025-26_VL_BAEEE101_00100_ETH_2025-11-13_MOSFET.pdf,UI / Design,zero-shot(0.1278)
C:\Users\ajayp\Downloads\FALLSEM2025-26_VL_BAEEE101_00100_ETH_2025-10-17_Introduction-to-Electromagnetic-Spectrum-and-Basics-of-Communication-System.pptx,Chart / Data,zero-shot(0.1281)
C:\Users\ajayp\Downloads\WINSEM2025-26_VL_BAENG101_00100_ETH_2025-12-12_Mark-Distribution (1).pdf,Document / Article,zero-shot(0.1285)
C:\Users\ajayp\Downloads\WINSEM2025-26_VL_BAENG101_00100_ETH_2025-12-12_Mark-Distribution.pdf,Document / Article,zero-shot(0.1285)
C:\Users\ajayp\Downloads\21- Generator Expressions (1).mp4,Chart / Data,zero-shot(0.1286)
C:\Users\ajayp\Downloads\python\[FreeCoursesOnline.Me] Code With Mosh - Complete Python Mastery\12- Building Web Applications with Django\21- Getting Ready to Deploy.mp4,UI / Design,zero-shot(0.1289)
C:\Users\ajayp\Downloads\Ajay Aadhaar (3).pdf,Code / Terminal,zero-shot(0.1299)
C:\Users\ajayp\Downloads\WINSEM2025-26_VL_BACSE106_00100_ETH_2026-03-21_Memory-Management.pptx,Other,zero-shot(0.1301)
C:\Users\ajayp\Downloads\WINSEM2025-26_VL_BAENG101_00100_ETH_2026-01-10_Taxonomy-of-Technical-Communication (1).pptx,Document / Article,zero-shot(0.1302)
C:\Users\ajayp\Downloads\5- Default Arguments.mp4,UI / Design,zero-shot(0.1314)
